names,artist_names,artist_genres,albums
Style (Taylor's Version),Taylor Swift,['pop'],1989 (Taylor's Version)
Love Story (Taylor’s Version),Taylor Swift,['pop'],Love Story (Taylor’s Version)
Blank Space (Taylor's Version),Taylor Swift,['pop'],1989 (Taylor's Version)
Anti-Hero,Taylor Swift,['pop'],Midnights
You Belong With Me (Taylor’s Version),Taylor Swift,['pop'],Fearless (Taylor’s Version): The I Remember What You Said Last Night Chapter
Lover,Taylor Swift,['pop'],Lover
Karma,Taylor Swift,['pop'],Midnights
Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,['pop'],1989 (Taylor's Version)
Wildest Dreams (Taylor's Version),Taylor Swift,['pop'],Wildest Dreams (Taylor's Version)
Enchanted (Taylor's Version),Taylor Swift,['pop'],Speak Now (Taylor's Version)
"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,['pop'],1989 (Taylor's Version)
I Knew You Were Trouble (Taylor's Version),Taylor Swift,['pop'],Red (Taylor's Version)
New Romantics (Taylor's Version),Taylor Swift,['pop'],1989 (Taylor's Version)
Don’t Blame Me,Taylor Swift,['pop'],reputation
Lavender Haze,Taylor Swift,['pop'],Midnights
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,['pop'],Red (Taylor's Version)
Out Of The Woods (Taylor's Version),Taylor Swift,['pop'],1989 (Taylor's Version)
Mine (Taylor's Version),Taylor Swift,['pop'],Speak Now (Taylor's Version)
Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,['pop'],1989 (Taylor's Version)
All Of The Girls You Loved Before,Taylor Swift,['pop'],All Of The Girls You Loved Before
Delicate,Taylor Swift,['pop'],reputation
I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],Speak Now (Taylor's Version)
Shake It Off (Taylor's Version),Taylor Swift,['pop'],1989 (Taylor's Version)
Midnight Rain,Taylor Swift,['pop'],Midnights
august,Taylor Swift,['pop'],folklore
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Taylor Swift,['pop'],1989 (Taylor's Version) [Deluxe]
cardigan,Taylor Swift,['pop'],folklore
22 (Taylor's Version),Taylor Swift,['pop'],Red (Taylor's Version)
Look What You Made Me Do,Taylor Swift,['pop'],reputation
Back To December (Taylor's Version),Taylor Swift,['pop'],Speak Now (Taylor's Version)
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,['pop'],Red (Taylor's Version)
Welcome To New York (Taylor's Version),Taylor Swift,['pop'],1989 (Taylor's Version)
Snow On The Beach (feat. More Lana Del Rey),Taylor Swift,['pop'],Midnights (The Til Dawn Edition)
Mean (Taylor's Version),Taylor Swift,['pop'],Speak Now (Taylor's Version)
Clean (Taylor's Version),Taylor Swift,['pop'],1989 (Taylor's Version)
Hits Different,Taylor Swift,['pop'],Midnights (The Til Dawn Edition)
Getaway Car,Taylor Swift,['pop'],reputation
All You Had To Do Was Stay (Taylor's Version),Taylor Swift,['pop'],1989 (Taylor's Version)
Bejeweled,Taylor Swift,['pop'],Midnights
willow,Taylor Swift,['pop'],evermore
Paper Rings,Taylor Swift,['pop'],Lover
I Wish You Would (Taylor's Version),Taylor Swift,['pop'],1989 (Taylor's Version)
Dear John (Taylor's Version),Taylor Swift,['pop'],Speak Now (Taylor's Version)
"You're On Your Own, Kid",Taylor Swift,['pop'],Midnights
The Man,Taylor Swift,['pop'],Lover
Better Than Revenge (Taylor's Version),Taylor Swift,['pop'],Speak Now (Taylor's Version)
You Need To Calm Down,Taylor Swift,['pop'],Lover
If This Was A Movie (Taylor’s Version),Taylor Swift,['pop'],If This Was A Movie (Taylor’s Version)
Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift,['pop'],1989 (Taylor's Version)
Foolish One (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],Speak Now (Taylor's Version)
Maroon,Taylor Swift,['pop'],Midnights
When Emma Falls in Love (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],Speak Now (Taylor's Version)
Vigilante Shit,Taylor Swift,['pop'],Midnights
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],Speak Now (Taylor's Version)
Mastermind,Taylor Swift,['pop'],Midnights
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],Mr. Perfectly Fine (Taylor’s Version) (From The Vault)
Long Live (Taylor's Version),Taylor Swift,['pop'],Speak Now (Taylor's Version)
The Great War,Taylor Swift,['pop'],Midnights (3am Edition)
Safe & Sound (feat. Joy Williams and John Paul White) (Taylor’s Version),Taylor Swift,['pop'],Safe & Sound (Taylor's Version)
Timeless (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],Speak Now (Taylor's Version)
The Way I Loved You (Taylor’s Version),Taylor Swift,['pop'],Fearless (Taylor's Version)
Gorgeous,Taylor Swift,['pop'],reputation
The Story Of Us (Taylor's Version),Taylor Swift,['pop'],Speak Now (Taylor's Version)
Question...?,Taylor Swift,['pop'],Midnights
champagne problems,Taylor Swift,['pop'],evermore
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],Speak Now (Taylor's Version)
Eyes Open (Taylor's Version),Taylor Swift,['pop'],Eyes Open (Taylor's Version)
Ours (Taylor’s Version),Taylor Swift,['pop'],Speak Now (Taylor's Version)
Sweet Nothing,Taylor Swift,['pop'],Midnights
Sparks Fly (Taylor’s Version),Taylor Swift,['pop'],Speak Now (Taylor's Version)
exile (feat. Bon Iver),Taylor Swift,['pop'],folklore
Red,Taylor Swift,['pop'],Red
Last Kiss (Taylor's Version),Taylor Swift,['pop'],Speak Now (Taylor's Version)
Delicate - Recorded at The Tracking Room Nashville,Taylor Swift,['pop'],Spotify Singles
Paris,Taylor Swift,['pop'],Midnights (3am Edition)
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,['pop'],Red (Taylor's Version)
This Love (Taylor’s Version),Taylor Swift,['pop'],This Love (Taylor’s Version)
Labyrinth,Taylor Swift,['pop'],Midnights
"Would've, Could've, Should've",Taylor Swift,['pop'],Midnights (3am Edition)
the 1,Taylor Swift,['pop'],folklore
Bigger Than The Whole Sky,Taylor Swift,['pop'],Midnights (3am Edition)
End Game,Taylor Swift,['pop'],reputation
High Infidelity,Taylor Swift,['pop'],Midnights (3am Edition)
Glitch,Taylor Swift,['pop'],Midnights (3am Edition)
Dear Reader,Taylor Swift,['pop'],Midnights (3am Edition)
my tears ricochet,Taylor Swift,['pop'],folklore
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],Red (Taylor's Version)
All Too Well,Taylor Swift,['pop'],Red (Deluxe Edition)
September - Recorded at The Tracking Room Nashville,Taylor Swift,['pop'],Spotify Singles
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],Red (Taylor's Version)
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],Red (Taylor's Version)
Cornelia Street,Taylor Swift,['pop'],Lover
invisible string,Taylor Swift,['pop'],folklore
Better Man (Taylor's Version) (From The Vault),Taylor Swift,['pop'],Red (Taylor's Version)
betty,Taylor Swift,['pop'],folklore
‘tis the damn season,Taylor Swift,['pop'],evermore
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,['pop'],Lover
evermore (feat. Bon Iver),Taylor Swift,['pop'],evermore
Afterglow,Taylor Swift,['pop'],Lover
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,"['pop', 'uk pop']",Fifty Shades Darker (Original Motion Picture Soundtrack)
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Taylor Swift,['pop'],Red (Taylor's Version)
I Did Something Bad,Taylor Swift,['pop'],reputation
Love Story (Taylor's Version) - Elvira Remix,Taylor Swift,['pop'],Love Story (Taylor's Version) [Elvira Remix]
"no body, no crime (feat. HAIM)",Taylor Swift,['pop'],evermore
I Forgot That You Existed,Taylor Swift,['pop'],Lover
Call It What You Want,Taylor Swift,['pop'],reputation
London Boy,Taylor Swift,['pop'],Lover
The Very First Night (Taylor's Version) (From The Vault),Taylor Swift,['pop'],Red (Taylor's Version)
right where you left me - bonus track,Taylor Swift,['pop'],evermore (deluxe version)
Daylight,Taylor Swift,['pop'],Lover
Begin Again,Taylor Swift,['pop'],Red
Fearless,Taylor Swift,['pop'],Fearless
Miss Americana & The Heartbreak Prince,Taylor Swift,['pop'],Lover
the last great american dynasty,Taylor Swift,['pop'],folklore
The Archer,Taylor Swift,['pop'],Lover
Picture To Burn,Taylor Swift,['pop'],Taylor Swift
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],Fearless (Taylor's Version)
Carolina - From The Motion Picture “Where The Crawdads Sing”,Taylor Swift,['pop'],Carolina (From The Motion Picture “Where The Crawdads Sing”)
I Think He Knows,Taylor Swift,['pop'],Lover
Babe (Taylor's Version) (From The Vault),Taylor Swift,['pop'],Red (Taylor's Version)
this is me trying,Taylor Swift,['pop'],folklore
gold rush,Taylor Swift,['pop'],evermore
long story short,Taylor Swift,['pop'],evermore
Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,['pop'],Red (Taylor's Version)
Lover (Remix) [feat. Shawn Mendes],Taylor Swift,['pop'],Lover (Remix) [feat. Shawn Mendes]
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault)
Renegade,Big Red Machine,"['eau claire indie', 'folktronica']",How Long Do You Think It's Gonna Last?
exile (feat. Bon Iver) - the long pond studio sessions,Taylor Swift,['pop'],folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]
ivy,Taylor Swift,['pop'],evermore
the lakes - original version,Taylor Swift,['pop'],the lakes (original version)
it’s time to go - bonus track,Taylor Swift,['pop'],evermore (deluxe version)
marjorie,Taylor Swift,['pop'],evermore
mirrorball,Taylor Swift,['pop'],folklore
Teardrops On My Guitar - Radio Single Remix,Taylor Swift,['pop'],Taylor Swift
Only The Young - Featured in Miss Americana,Taylor Swift,['pop'],Only The Young (Featured in Miss Americana)
illicit affairs,Taylor Swift,['pop'],folklore
tolerate it,Taylor Swift,['pop'],evermore
willow - dancing witch version (Elvira remix),Taylor Swift,['pop'],willow [dancing witch version (Elvira remix)]
happiness,Taylor Swift,['pop'],evermore
We Were Happy (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],Fearless (Taylor's Version)
dorothea,Taylor Swift,['pop'],evermore
cardigan - cabin in candlelight version,Taylor Swift,['pop'],cardigan (cabin in candlelight version)
mad woman,Taylor Swift,['pop'],folklore
Don’t You (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],Fearless (Taylor's Version)
Our Song,Taylor Swift,['pop'],Taylor Swift
seven,Taylor Swift,['pop'],folklore
Dancing With Our Hands Tied,Taylor Swift,['pop'],reputation
Death By A Thousand Cuts,Taylor Swift,['pop'],Lover
Fifteen,Taylor Swift,['pop'],Fearless
False God,Taylor Swift,['pop'],Lover
Tim McGraw,Taylor Swift,['pop'],Taylor Swift
Soon You’ll Get Better (feat. The Chicks),Taylor Swift,['pop'],Lover
peace,Taylor Swift,['pop'],folklore
White Horse (Taylor’s Version),Taylor Swift,['pop'],Fearless (Taylor's Version)
Cornelia Street - Live From Paris,Taylor Swift,['pop'],Cornelia Street (Live From Paris)
cowboy like me,Taylor Swift,['pop'],evermore
epiphany,Taylor Swift,['pop'],folklore
Death By A Thousand Cuts - Live From Paris,Taylor Swift,['pop'],Death By A Thousand Cuts (Live From Paris)
It’s Nice To Have A Friend,Taylor Swift,['pop'],Lover
hoax,Taylor Swift,['pop'],folklore
coney island (feat. The National),Taylor Swift,['pop'],evermore
Highway Don't Care,Tim McGraw,"['contemporary country', 'country', 'country road']",Two Lanes Of Freedom
Bye Bye Baby (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],Fearless (Taylor's Version)
closure,Taylor Swift,['pop'],evermore
Christmas Tree Farm,Taylor Swift,['pop'],Christmas Tree Farm
Thinkin’ Bout Me,Morgan Wallen,['contemporary country'],One Thing At A Time
You Proof,Morgan Wallen,['contemporary country'],You Proof
Wasted On You,Morgan Wallen,['contemporary country'],Dangerous: The Double Album
Hey Driver (feat. The War and Treaty),Zach Bryan,"['classic oklahoma country', 'modern country pop']",Zach Bryan
Rich Men North of Richmond,Oliver Anthony Music,['modern country pop'],Rich Men North of Richmond
Heading South,Zach Bryan,"['classic oklahoma country', 'modern country pop']",Heading South
The Kind of Love We Make,Luke Combs,"['contemporary country', 'country']",The Kind of Love We Make
Tennessee Whiskey,Chris Stapleton,"['contemporary country', 'outlaw country']",Traveller
Religiously,Bailey Zimmerman,"['contemporary country', 'modern country pop']",Religiously. The Album.
Coal,Dylan Gossett,[],Coal
You Should Probably Leave,Chris Stapleton,"['contemporary country', 'outlaw country']",Starting Over
Wild Ones (feat. Jelly Roll),Jessie Murph,"['modern country pop', 'singer-songwriter pop']",Wild Ones (feat. Jelly Roll)
Buy Dirt,Jordan Davis,['contemporary country'],Buy Dirt
We Ride,Bryan Martin,['modern country pop'],Poets & Old Souls
When It Rains It Pours,Luke Combs,"['contemporary country', 'country']",This One's for You
Beautiful Crazy,Luke Combs,"['contemporary country', 'country']",This One's for You Too (Deluxe Edition)
Rock and A Hard Place,Bailey Zimmerman,"['contemporary country', 'modern country pop']",Religiously. The Album.
White Horse,Chris Stapleton,"['contemporary country', 'outlaw country']",White Horse
Life is a Highway,Rascal Flatts,"['contemporary country', 'country', 'country road', 'modern country rock']",Cars (Original Motion Picture Soundtrack)
All Your'n,Tyler Childers,"['kentucky indie', 'kentucky roots', 'outlaw country']",Country Squire
The Painter,Cody Johnson,"['classic texas country', 'contemporary country']",The Painter
Please Don't Go,Wyatt Flores,"['modern country pop', 'oklahoma country']",Please Don't Go
Before He Cheats,Carrie Underwood,"['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'country road', 'dance pop', 'pop']",Some Hearts
Straight and Narrow,Sam Barber,['modern country pop'],Million Eyes
Feathered Indians,Tyler Childers,"['kentucky indie', 'kentucky roots', 'outlaw country']",Purgatory
TRUCK BED,HARDY,"['contemporary country', 'modern country pop']",TRUCK BED
Pretty Little Poison,Warren Zeiders,['modern country pop'],Pretty Little Poison
Wagon Wheel,Darius Rucker,"['black americana', 'contemporary country', 'country', 'country road', 'modern country rock']",True Believers
Next Thing You Know,Jordan Davis,['contemporary country'],Next Thing You Know
Porch Light,Josh Meloy,"['classic oklahoma country', 'modern country pop', 'oklahoma country', 'texas country']",Porch Light
Watermelon Moonshine,Lainey Wilson,"['contemporary country', 'modern country pop']",Bell Bottom Country
Chicken Fried,Zac Brown Band,"['contemporary country', 'country', 'country road', 'modern country rock']",The Foundation
Fall In Love,Bailey Zimmerman,"['contemporary country', 'modern country pop']",Religiously. The Album.
23,Chayce Beckham,['modern country pop'],23
"10,000 Hours (with Justin Bieber)",Dan + Shay,"['contemporary country', 'country', 'country road']","10,000 Hours (with Justin Bieber)"
What My World Spins Around,Jordan Davis,['contemporary country'],What My World Spins Around
Tennessee Orange,Megan Moroney,['modern country pop'],Lucky
Starting Over,Chris Stapleton,"['contemporary country', 'outlaw country']",Starting Over
Need A Favor,Jelly Roll,"['country rap', 'nashville hip hop', 'tennessee hip hop']",Whitsitt Chapel
One Of Them Girls,Lee Brice,"['contemporary country', 'country', 'country road', 'modern country rock']",One Of Them Girls
Country Girl (Shake It For Me),Luke Bryan,"['contemporary country', 'country', 'country road', 'modern country rock']",Tailgates & Tanlines
Lady May,Tyler Childers,"['kentucky indie', 'kentucky roots', 'outlaw country']",Purgatory
Body Like A Back Road,Sam Hunt,"['contemporary country', 'country', 'country pop', 'modern country rock']",Body Like A Back Road
Son Of A Sinner,Jelly Roll,"['country rap', 'nashville hip hop', 'tennessee hip hop']",Ballads of the Broken
Flower Shops (feat. Morgan Wallen),ERNEST,['modern country pop'],Flower Shops (feat. Morgan Wallen)
In Your Love,Tyler Childers,"['kentucky indie', 'kentucky roots', 'outlaw country']",In Your Love
You Broke My Heart,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",For All The Dogs Scary Hours Edition
We Don't Talk About It,Thelma Plum,"['australian indie', 'australian indigenous music']",We Don't Talk About It
Two Hearts,Dermot Kennedy,"['folk-pop', 'irish pop', 'uk pop']",Two Hearts
PARTY & BS,KAHUKX,['australian hip hop'],PARTY & BS
Anpuru Maau Kutjpa,Electric Fields,['australian indigenous music'],Anpuru Maau Kutjpa
Alma Mater,Bleachers,"['indie pop', 'indie poptimism', 'modern rock', 'pov: indie']",Alma Mater
Heist,Aitch,"['manchester hip hop', 'uk hip hop']",Lost Files
Still Got It - Live from Spotify Green Screen,Troye Sivan,"['australian pop', 'pop', 'viral pop']",Still Got It (Live from Spotify Green Screen)
Walk & Drive (feat. Nerve),Chillinit,"['aussie drill', 'australian trap']",Walk & Drive (feat. Nerve)
Ride It,Larissa Lambert,['chill r&b'],Ride It
I Do,Reneé Rapp,"['alt z', 'singer-songwriter pop']",Snow Angel (Deluxe)
Transparency (feat. USHER),2 Chainz,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Welcome 2 Collegrove
Get You Backroads,Zac & George,['australian country'],Get You Backroads
Body Moving,Eliza Rose,['house'],Body Moving
Baby Blue,Surfaces,['bedroom soul'],Baby Blue
Fake Plant On Fire,lovemedo,[],Fake Plant On Fire
DSYL,SAHXL,['perth hip hop'],DSYL
Blessed,Soli,[],Blessed
I'm The Type,Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",Nightmares In the Trenches
Running From It,benison,[],Running From It
Nostalgia (feat. Little Green),SLUMBERJACK,"['electronic trap', 'vapor twitch']",Nostalgia (feat. Little Green)
Fingerprints,Keenan Te,['gen z singer-songwriter'],Fingerprints
BADMAN,Russ Millions,"['melodic drill', 'uk drill']",FREEDOM
"I swear, I Really Wanted To Make A ""Rap"" Album But This Is Literally The Way The Wind Blew Me This Time",André 3000,"['atl hip hop', 'dirty south rap', 'hip hop', 'southern hip hop']",New Blue Sun
DOUBLE STANDARDS,Mason Dane,[],DOUBLE STANDARDS
Can't Get You Out Of My Head,Amy Shark,['australian pop'],Can't Get You Out Of My Head
Two Generations of Excess,Unknown Mortal Orchestra,"['art pop', 'indie rock', 'indie soul', 'indietronica', 'kiwi rock', 'neo-psychedelic', 'portland hip hop', 'psychedelic pop']",II (10 Year Anniversary Edition)
Me and My Denial,Molly Millington,[],5 Stages
Us ft. ERNEST,Steve Aoki,"['edm', 'electro house', 'pop dance']",HiROQUEST 2: Double Helix
in these bones,Neptune,[],nowhere fast
Asphalt,Molly Payton,['nz indie'],Asphalt
You Don't Even Know Me,Cheat Codes,"['edm', 'pop', 'pop dance']",You Don’t Even Know Me
Don't Do Me Good,Madi Diaz,['acoustic pop'],Don't Do Me Good
Get Close,Ari Lennox,['alternative r&b'],Get Close
Loverboy,AMARNI,[],Loverboy
Deja Vu,Harley Alaska,[],Deja Vu
In Our Nature,Kings,['nz hip hop'],Sg. Nik Presents: Rinse On Toast
The Most Beautiful Thing,The Nicholas,[],The Most Beautiful Thing
Life In Your Hands,JKING,['pacific islands pop'],Life In Your Hands
Vocation,Ozuna,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",Cosmo
Can't Afford Therapy,WILSN,['australian americana'],Can't Afford Therapy
Tourist,RedHook,"['australian alternative rock', 'slayer']",Tourist
$TONED,Toby Mai,['dark r&b'],$TONED
If You Died Today,Natalie Jane,['singer-songwriter pop'],Where Am I?
No Bad Days,The Terrys,['australian surf rock'],No Bad Days
Lean,Bugzy Malone,"['grime', 'manchester hip hop', 'uk hip hop']",Lean
Answer Phone,Tom Odell,['chill pop'],Answer Phone
THRILL OF IT,Noah Vernon,[],THRILL OF IT
Offer Down,Mel Parsons,"['christchurch indie', 'nz singer-songwriter']",Offer Down
Cool Water - Single Mix,Kurt Vile,"['art pop', 'chamber pop', 'indie rock', 'modern folk rock', 'neo-psychedelic', 'noise pop', 'philly indie', 'singer-songwriter']",Back to Moon Beach
LAST OF US,Bad1,[],LAST OF US
I Just Wanna Fly,Maxwell Young,['chillhop'],I Just Wanna Fly
Chill Pad Deluxe,Majid Jordan,['canadian contemporary r&b'],Good People / Afterhours
Wild Mama,Taylor Moss,['australian country'],Wild Mama
IT'S ALRIGHT,Mashd N Kutcher,[],IT'S ALRIGHT
catch the night,Kee'ahn,['australian indigenous music'],catch the night
The Worst,Donell Lewis,"['nz hip hop', 'pacific islands pop']",The Worst
Be Like You,Dune Rats,"['australian garage punk', 'australian indie', 'brisbane punk']",Be Like You
Crying in the Carwash,Lolo Zouaï,['alternative r&b'],Crying in the Carwash
Home and In Love,Mitch Santiago,[],Home and In Love
Work,WIIGZ,['brisbane indie'],Songs To Catwalk To
where’s my head at _,Basement Jaxx,"['alternative dance', 'big beat', 'electronica', 'filter house', 'trip hop']",where’s my head at _
Wall Of Eyes,The Smile,['uk post-punk revival'],Wall Of Eyes
Juvenile Retention,Gut Health,['melbourne punk'],Juvenile Retention
Lift Us Up,Vanessa Amorosi,"['australian dance', 'australian pop', 'australian rock']",Memphis Love
The Last Time,Nat Dunn,[],The Last Time
The Space,Go Freek,"['australian house', 'deep groove house']",The Space
