names,artist_names,artist_genres,albums
I'll Be Home for Christmas,Michael Bublé,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",100 Greatest Christmas Songs Ever
Tangled in Tinsel,Jessie James Decker,['contemporary country'],Christmas Songs and Holiday Music
Mary's Boy Child,Matt Monro,"['adult standards', 'easy listening']",100 Greatest Christmas Songs Ever
Christmas Wish (Aka My Christmas Wish for You),Percy Sledge,"['classic soul', 'rock-and-roll', 'soul', 'southern soul']",100 Greatest Christmas Songs Ever
Christmas Saves the Year,Twenty One Pilots,"['modern rock', 'pop', 'pov: indie', 'rock']",Christmas Songs and Holiday Music
Cold December Night,Michael Bublé,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",100 Greatest Christmas Songs Ever
All I Want for Christmas Is You,VICTORIA,[],Christmas Songs and Holiday Music
Might Ruin Christmas,New Rules,['singer-songwriter pop'],Might Ruin Christmas
Everybody’s Home For Christmas,Lea Heart,['irish pop'],Everybody’s Home For Christmas
Blame It on the Mistletoe,Ella Henderson,"['dance pop', 'pop dance', 'talent show', 'uk pop']",100 Greatest Christmas Songs Ever
The Power of Love,Gabrielle Aplin,"['acoustic pop', 'indie anthem-folk', 'neo-singer-songwriter', 'uk pop', 'viral pop']",100 Greatest Christmas Songs Ever
Jingle Bells,Michael Bublé,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",100 Greatest Christmas Songs Ever
Rest Of Our Days,Ella Henderson,"['dance pop', 'pop dance', 'talent show', 'uk pop']",Rest Of Our Days
Mistletoe and Wine,Cliff Richard,"['adult standards', 'rock-and-roll']",100 Greatest Christmas Songs Ever
Stay Another Day,East 17,"['boy band', 'europop']",Steam
Rudolph the Red-Nosed Reindeer,Gene Autry,"['classic oklahoma country', 'cowboy western', 'traditional country', 'western swing', 'yodeling']",Rudolph The Red Nosed Reindeer And Other Christmas Classics
Little Drummer Boy,Kenny Rogers,"['classic country pop', 'country', 'nashville sound']",100 Greatest Christmas Songs Ever
It Will Still Be Christmas,The Boy Least Likely To,['twee pop'],It Will Still Be Christmas
"Cuddle Up, Cozy Down Christmas",Dolly Parton,"['classic country pop', 'country', 'country dawn']",100 Greatest Christmas Songs Ever
Never Do a Tango with an Eskimo,Alma Cogan,"['classic uk pop', 'deep adult standards']",100 Greatest Christmas Songs Ever
Think of Christmas,Anne-Marie,['pop'],100 Greatest Christmas Songs Ever
The Christmas Song,Michael Bublé,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",Christmas (Deluxe Special Edition)
Presents for Christmas,Solomon Burke,"['soul', 'soul blues', 'southern soul']",100 Greatest Christmas Songs Ever
Unwrap You at Christmas,The Monkees,"['album rock', 'beatlesque', 'bubblegum pop', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock-and-roll', 'singer-songwriter', 'soft rock', 'sunshine pop']",Christmas Party
Give Love This Year,Fitz and The Tantrums,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'pov: indie']",Christmas Songs and Holiday Music
Skating,Lunar Vacation,"['atlanta indie', 'indie pop']",Christmas (Baby Please Come Home)
christmas dream,Christina Perri,['pop'],Christmas Songs and Holiday Music
Christmas Always Finds Me,Ingrid Andress,"['contemporary country', 'country pop']",100 Greatest Christmas Songs Ever
Christmas Ain't Christmas Without You,Cher,"['dance pop', 'pop']",Christmas
My Only Wish (feat. Christopher),Jubël,['swedish pop'],My Only Wish (feat. Christopher)
Home for Christmas,Colton Dixon,"['ccm', 'christian alternative rock', 'christian music']",Home for Christmas / I’ll be Home for Christmas (Acoustic)
Linus And Lucy,Daniel Leggs,['singer-songwriter pop'],Overallidays
This Will Be Our Year,Cher,"['dance pop', 'pop']",Christmas
Holiday Party,Dan + Shay,"['contemporary country', 'country', 'country road']",Holiday Party
2000 Miles,Pretenders,"['album rock', 'classic rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'soft rock']",100 Greatest Christmas Songs Ever
Doesn’t Feel Like Christmas,Lily Williams,['singer-songwriter pop'],Overallidays
White Christmas (with the Patrick Williams Orchestra),Laura Pausini,"['europop', 'italian adult pop', 'latin arena pop', 'mexican pop']",Laura Xmas (Deluxe)
Silent Night,Michael Bublé,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",100 Greatest Christmas Songs Ever
Can’t Dun (feat. M24),Tion Wayne,"['london rap', 'uk hip hop']",Can’t Dun (feat. M24)
MONEY AND VIBES,Nemzzz,"['manchester hip hop', 'melodic drill']",MONEY AND VIBES
Grandma's Kitchen,KwolleM,['uk alternative hip hop'],Melo
Brilliant Mind,Blanco,"['london rap', 'uk drill', 'uk hip hop']",Brilliant Mind
Pressure,Rushy,[],Pressure
Adolescence (Ft. Digga D),Unknown T,"['grime', 'uk hip hop']",Adolescence (Ft. Digga D)
luvu222,Moko,['afroswing'],luvu222
#skeptacore pt.3,Ryder,[],#skeptacore pt.3
Incredible Sauce (feat. Dave),Giggs,"['grime', 'london rap', 'uk hip hop']",Zero Tolerance
Murdaside - Remix,Mazza_l20,"['charva', 'scouse rap']",Murdaside (Remix)
POCKET-WATCHING (feat. Tion Wayne),NSG,"['afrobeats', 'afroswing', 'uk dancehall', 'uk hip hop']",AREA BOYZ
Feeling Alive,Strandz,[],Feeling Alive
TRIPLE THREAT,Headie One,['uk hip hop'],TRIPLE THREAT
Daily Duppy (feat. GRM Daily),Nines,['uk hip hop'],Daily Duppy (feat. GRM Daily)
Hide And Seek (feat. Digga D),163Margs,[],Hide And Seek (feat. Digga D)
G-LAY,Joe James,"['chill drill', 'uk alternative hip hop']",G-LAY
DTB,JBEE,"['chill drill', 'melodic drill']",DTB
AMEN,Tion Wayne,"['london rap', 'uk hip hop']",AMEN
Tip Toes,Clavish,"['uk drill', 'uk hip hop']",Tip Toes
Afterthought,D Double E,"['grime', 'uk hip hop']","No Reign, No Flowers"
I Admit (feat. MoStack),MIST,"['birmingham grime', 'birmingham hip hop', 'birmingham indie', 'grime', 'uk hip hop']",I Admit (feat. MoStack)
Check,Skrapz,"['grime', 'uk hip hop']",Check
Gorilla,Rimzee,['uk hip hop'],Gorilla
Hometown,Bandokay,"['uk drill', 'uk hip hop']",M.A.R.K
I Know You Wanna,ShaSimone,[],I Know You Wanna
Lockdown,Tunde,"['charva', 'manchester hip hop', 'uk hip hop']",Lockdown
Facade,Digga D,"['aussie drill', 'london rap', 'melodic drill', 'uk hip hop']",Facade
STEVIE WONDER (feat. Aitch),NSG,"['afrobeats', 'afroswing', 'uk dancehall', 'uk hip hop']",AREA BOYZ
Click Of My Fingers,Clavish,"['uk drill', 'uk hip hop']",Click Of My Fingers
Laps (feat. Moonchild Sanelly),Ghetts,"['grime', 'uk hip hop']",Laps (feat. Moonchild Sanelly)
Take 2,Akz,['uk drill'],Take 2
Captain Ants,AntsLive,[],Captain Ants
Not Guilty,Tunde,"['charva', 'manchester hip hop', 'uk hip hop']",Not Guilty
Betting On Me,Br3nya,"['afroswing', 'trap queen', 'uk dancehall']",Innit Innit Girl
Quarter Past 3,Fredo,['uk hip hop'],Unfinished Business
where you been?,M Huncho,['uk hip hop'],my neighbours don't know.
More Money More Problems,Headie One,['uk hip hop'],More Money More Problems
Roadents,Cristale,[],Roadents
Central,Private Zero,"['chill drill', 'melodic drill']",Man of the House
Honeybun,LeoStayTrill,[],Honeybun
Pull Up (feat. Backroad Gee),MIST,"['birmingham grime', 'birmingham hip hop', 'birmingham indie', 'grime', 'uk hip hop']",Pull Up (feat. Backroad Gee)
Risk My Freedom,CB,"['uk drill', 'uk hip hop']",Risk My Freedom
Massacre,J Hus,"['afroswing', 'grime', 'uk hip hop']",Beautiful And Brutal Yard
22,A2 Anti,[],22
Let's Talk Money (feat. Headie One),Slim,['uk hip hop'],Still Working 2
Mad About Bars,Tunde,"['charva', 'manchester hip hop', 'uk hip hop']",Mad About Bars
What Can I Say?,M24,"['uk drill', 'uk hip hop']",What Can I Say?
Paid In Blood,Morrisson,"['grime', 'london rap', 'uk drill', 'uk hip hop']",Paid In Blood
Far From Wrong,Fee Gonzales,[],2GR8 2H8
Cheque,BXKS,['uk alternative hip hop'],Cheque
Unruly,Blanco,"['london rap', 'uk drill', 'uk hip hop']",ReBourne
Capri-Sun,AE,[],Capri-Sun
NO HOOK 2,V9,"['uk drill', 'uk hip hop']",NO HOOK 2
summers over,Moko,['afroswing'],summers over
Mainstream,KwolleM,['uk alternative hip hop'],Melo
SEIHOR,NSG,"['afrobeats', 'afroswing', 'uk dancehall', 'uk hip hop']",AREA BOYZ
Dondada,Yung Fume,"['london rap', 'uk hip hop']",Dondada
By Chance (feat. 21 Savage),Giggs,"['grime', 'london rap', 'uk hip hop']",Zero Tolerance
CATFISH,Headie One,['uk hip hop'],STRENGTH TO STRENGTH
Normal,Skrapz,"['grime', 'uk hip hop']",Normal
Yahoo,Offica,"['anime drill', 'irish drill', 'irish hip hop']",Hokage Pt 2 : Hokage in Lagos
Step Into Christmas - Remastered 1995,Elton John,"['glam rock', 'mellow gold', 'piano rock', 'rock']",Goodbye Yellow Brick Road (40th Anniversary Celebration / Super Deluxe)
Rockin' Around The Christmas Tree,Brenda Lee,"['adult standards', 'easy listening', 'lounge', 'rockabilly']",Rockin' Around The Christmas Tree/The Decca Christmas Recordings
Santa Baby,Kylie Minogue,"['australian dance', 'australian pop', 'dance pop', 'eurodance', 'new wave pop']",A Kylie Christmas
Fairytale of New York (feat. Kirsty MacColl),The Pogues,"['celtic punk', 'celtic rock', 'folk punk', 'punk']",If I Should Fall from Grace with God (Expanded Edition)
Somewhere Only We Know,Lily Allen,"['dance pop', 'electropop']",Sheezus
Christmas Time (Don't Let the Bells End),The Darkness,"['glam metal', 'hard rock']",Christmas Time (Don't Let the Bells End)
Christmas Is All Around - Soundtrack Version,Billy Mack,[],Love Actually (Original Motion Picture Score)
Half the World Away,AURORA,"['art pop', 'norwegian pop']",All My Demons Greeting Me as a Friend (Deluxe)
Deck The Halls - Remastered 1999,Nat King Cole,"['adult standards', 'lounge', 'soul', 'swing', 'vocal jazz']",The Christmas Song
Merry Christmas Baby,Otis Redding,"['classic soul', 'memphis soul', 'soul', 'soul blues', 'southern soul', 'vocal jazz']",The King of Soul
I'll Be Home for Christmas,Michael Bublé,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",Christmas (Deluxe Special Edition)
Winter Wonderland,Tony Bennett,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",Winter Wonderland
Love Is A Compass - Disney supporting Make-A-Wish,Griff,['uk pop'],Love Is A Compass (Disney supporting Make-A-Wish)
Winter Song,Sam Fender,"['modern rock', 'north east england indie']",Winter Song
Merry Xmas Everybody,Slade,['glam rock'],Merry Xmas Everybody
Driving Home for Christmas - Spotify Singles Holiday,Tom Grennan,['uk pop'],Driving Home for Christmas (Spotify Singles Holiday)
Winter Winds,Mumford & Sons,"['modern folk rock', 'modern rock', 'neo mellow', 'stomp and holler', 'uk americana']",Sigh No More
Only You - From The McDonald’s Christmas Advert 2022,Becky Hill,"['pop dance', 'pop house', 'uk dance', 'uk pop']",Only You (From The McDonald’s Christmas Advert 2022)
Christmas Wrapping,The Waitresses,['new wave pop'],I Could Rule The World If I Could Only Get The Parts (Expanded Edition)
Holly Jolly Christmas,Michael Bublé,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",Christmas (Deluxe Special Edition)
What I Want For Xmas,Orba Squara,[],What I Want For Xmas
Christmas (Baby Please Come Home),Olivia Holt,['post-teen pop'],Christmas (Baby Please Come Home)
Candy Cane Lane,Sia,"['australian dance', 'australian pop', 'pop']",Everyday Is Christmas (Deluxe Edition)
Warm This Winter,Gabriella Cilmi,"['australian pop', 'australian r&b']",Lessons To Be Learned
Real Love - From the John Lewis Christmas Advert 2014,Tom Odell,['chill pop'],Real Love
Christmas Tree Farm (Old Timey Version),Taylor Swift,['pop'],Christmas Tree Farm (Old Timey Version)
Jingle Bell Rock,The Vamps,"['boy band', 'pop']",Meet The Vamps (Christmas Edition)
White Christmas,Otis Redding,"['classic soul', 'memphis soul', 'soul', 'soul blues', 'southern soul', 'vocal jazz']",The King of Soul
"Main Title ""Somewhere in My Memory"" (From ""Home Alone"") - Voice",John Williams,"['orchestral soundtrack', 'soundtrack']",Home Alone (Original Motion Picture Soundtrack) [Anniversary Edition]
Blue Christmas,Elvis Presley,"['rock-and-roll', 'rockabilly']",Elvis Presley Christmas Duets
The Christmas Sweater,Michael Bublé,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",Christmas (Deluxe 10th Anniversary Edition)
Blame It On The Mistletoe,Ella Henderson,"['dance pop', 'pop dance', 'talent show', 'uk pop']",Blame It On The Mistletoe
The Lighthouse Keeper,Sam Smith,"['pop', 'uk pop']",The Lighthouse Keeper
Walking in The Air,Birdy,"['neo mellow', 'uk pop']",Walking in The Air
I Believe in Father Christmas,Greg Lake,"['progressive rock', 'symphonic rock']",I Believe in Father Christmas
Santa Claus Is Comin' To Town,Lou Rawls,"['classic soul', 'disco', 'motown', 'philly soul', 'quiet storm', 'soul', 'soul blues']",Merry Christmas Baby
At Christmas,Kylie Minogue,"['australian dance', 'australian pop', 'dance pop', 'eurodance', 'new wave pop']",Kylie Christmas (Snow Queen Edition)
In Dulce Jubilo,Mike Oldfield,"['progressive rock', 'symphonic rock']",Ommadawn
Little Drummer Boy,Alanis Morissette,"['canadian pop', 'canadian singer-songwriter', 'lilith', 'neo mellow', 'pop rock', 'singer-songwriter']",Little Drummer Boy
Dominick the Donkey (The Italian Christmas Donkey) [with Joe Reisman's Orchestra and Chorus],Lou Monte,['novelty'],Fairytale of New York
Hallelujah,Cian Ducrot,"['irish pop', 'singer-songwriter pop']",I'll Be Waiting (Sad At Christmas)
Your Song - Bonus Track,Ellie Goulding,"['indietronica', 'metropopolis', 'pop', 'uk pop']",Bright Lights (Lights Re-pack / Bonus Version)
Hang Your Lights (Edit),Jamie Cullum,"['contemporary vocal jazz', 'jazz pop', 'neo mellow']",The Pianoman at Christmas
Christmas Prayer,Paloma Faith,"['british soul', 'talent show', 'uk pop']",Infinite Things (Deluxe Version)
I Need You Christmas,Jonas Brothers,"['boy band', 'pop']",I Need You Christmas
Glasgow Love Theme,Craig Armstrong,"['british soundtrack', 'orchestral soundtrack', 'soundtrack']",Love Actually (Original Motion Picture Score)
Confidence,Ocean Alley,"['australian reggae fusion', 'australian surf rock']",Chiaroscuro
Wondering Why,The Red Clay Strays,[],Moment of Truth
"Think Of Me Once In A While, Take Care",Take Care,[],Agony
MR. TAKE YA B*TCH (FEAT. CHRISEANROCK),Lil Mabu,['meme'],MR. TAKE YA B*TCH (FEAT. CHRISEANROCK)
Barbie,JaidynAlexis,[],Barbie
What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",Jealous Ones Still Envy (J.O.S.E)
Tumblr Girls (feat. Christoph Andersson),G-Eazy,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",These Things Happen
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),A$AP Rocky,"['east coast hip hop', 'hip hop', 'rap', 'trap']",I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino)
ALL MY FELLAS,Frizk,[],ALL MY FELLAS
Solo,Myles Smith,[],Solo
if u think i'm pretty,Artemas,[],if u think i'm pretty
Teenage Dirtbag,Wheatus,['pop rock'],Wheatus
FΛSHION,Britney Manson,[],FΛSHION
Five Nights at Freddy's,The Newton Brothers,['soundtrack'],Five Nights at Freddy's (Original Motion Picture Soundtrack)
Nothing's New,Rio Romeo,"['pov: indie', 'weirdcore']",Good God!
Otra Vez,ProdMarvin,[],Otra Vez
Talking In Your Sleep,The Romantics,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'power pop', 'soft rock']",In Heat
Ick,Lay Bankz,['jersey club'],Now You See Me
Rodeo (Remix),Lah Pat,['pop rap'],Rodeo (Remix)
Wake Up in the Sky,Gucci Mane,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Wake Up in the Sky
I Know You,Faye Webster,"['atlanta indie', 'indie pop']",Faye Webster
something to remember,Matt Hansen,"['gen z singer-songwriter', 'singer-songwriter pop']",something to remember
Mama's Boy,Dominic Fike,"['alternative pop rock', 'pov: indie']",Mama's Boy
Mirrors,Justin Timberlake,"['dance pop', 'pop']",The 20/20 Experience (Deluxe Version)
Memoirs of a Gorilla,$uicideboy$,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",Radical $uicide
Self Esteem (featuring NLE Choppa),Lambo4oe,[],Self Esteem (featuring NLE Choppa)
sins (let me in),Kanii,"['bedroom r&b', 'sped up']",sins (let me in)
Just A Girl,No Doubt,"['dance pop', 'dance rock', 'permanent wave', 'pop rock', 'rock']",Tragic Kingdom
Shameless,Camila Cabello,"['dance pop', 'pop']",Romance
Rock Your Body,Justin Timberlake,"['dance pop', 'pop']",Justified
Wide Awake,Katy Perry,['pop'],Teenage Dream: The Complete Confection
Amour plastique,Videoclub,"['french indie pop', 'french synthpop']",Euphories
Using You,Mars Argo,[],Using You
older sped up,Isabel LaRosa,"['dark r&b', 'hyperpop', 'sped up']",older
DILUVIO,Rauw Alejandro,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",PLAYA SATURNO
9mm,Memphis Cult,['memphis phonk'],Memphis Cult Vol. 6
Wasted Summers,juju<3,[],Wasted Summers
i am not who i was,Chance Peña,['singer-songwriter pop'],i am not who i was
In This Darkness,Clara La San,[],In This Darkness
The Party & The After Party - Original,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",Trilogy
Copacabana (At the Copa),Barry Manilow,"['adult standards', 'mellow gold', 'soft rock', 'yacht rock']",Dance Vault Mixes - Copacabana (At The Copa)
Christmas Kids,Roar,"['pov: indie', 'weirdcore']",I Can't Handle Change
theres this girl,sign crushes motorist,[],i'll be okay
Bathroom,Montell Fish,['pittsburgh rap'],Her Love Still Haunts Me Like a Ghost
HBS,Lil Keed,"['melodic rap', 'trap']",Long Live Mexico
jersey luv,GROOVY,[],jersey luv
HARLEY QUINN,Fuerza Regida,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",Pa las Baby's Y Belikeada
Angels in Tibet,Amaarae,"['afro r&b', 'afrobeats', 'alternative r&b', 'ghanaian alternative', 'ghanaian pop']",Fountain Baby
Reggaeton Champagne,Bellakath,"['perreo', 'urbano latino', 'urbano mexicano']",Kittyponeo
60 Miles,Lil RT,[],60 Miles
Soak City (Do it),310babii,[],Soak City (Do it)
Jennifer’s Body,Ken Carson,['rage rap'],A Great Chaos
RAGE,scraizis,[],RAGE
Falling Behind,Laufey,['gen z singer-songwriter'],Everything I Know About Love
Open Arms (feat. Travis Scott),SZA,"['pop', 'r&b', 'rap']",SOS
cross my heart,Artemas,[],cross my heart
LANCEY OR LANCEY,Lancey Foux,['rage rap'],LIFE IN HELL
Harleys In Hawaii,Katy Perry,['pop'],Smile
Need 2,Pinegrove,"['countrygaze', 'new jersey indie', 'small room']",Everything So Far
Covet,Basement,"['alternative emo', 'dreamo', 'emo']",Colourmeinkindness
Superpowers,Daniel Caesar,['canadian contemporary r&b'],NEVER ENOUGH
Wassup Gway,FamousSally & YB,[],Wassup Gway
LOVELY BASTARDS,ZWE1HVNDXR,[],LOVELY BASTARDS
Can You Remember the Rain - Sequence Remix,Garrett Atterberry,[],Melodramatic
Margaret (feat. Bleachers),Lana Del Rey,"['art pop', 'pop']",Did you know that there's a tunnel under Ocean Blvd
Flex Up (feat. Future & Playboi Carti),Lil Yachty,"['atl hip hop', 'melodic rap', 'rap', 'trap']",Lil Boat 3.5
snowfall,Øneheart,['hardwave'],snowfall
Laffy Taffy,D4L,"['atl hip hop', 'crunk', 'dirty south rap', 'old school atlanta hip hop', 'southern hip hop']",Down for Life
Nun id change,Yeat,"['pluggnb', 'rage rap']",AftërLyfe
Deli,Ice Spice,['bronx drill'],Like..? (Deluxe)
Memory Reboot,VØJ,['traprun'],Memory Reboot
I LOVE YOU HOE (w/ 9lives),Odetari,"['sigilkore', 'sped up']",3x3
Smooth Operator,MOONLGHT,[],Smooth Operator
lemonade,Bumboi,['aesthetic rap'],bummed out
One Margarita (Margarita Song) [feat. Saucy Santana] - Saucy Remix,That Chick Angel,[],One Margarita (Margarita Song) [feat. Saucy Santana] [Saucy Remix]
Blue Hair,TV Girl,['pov: indie'],Death of a Party Girl
eyes don't lie,Isabel LaRosa,"['dark r&b', 'hyperpop', 'sped up']",eyes don't lie
Automotivo Bibi Fogosa,Bibi Babydoll,[],Automotivo Bibi Fogosa
Beauty And A Beat,Justin Bieber,"['canadian pop', 'pop']",Believe (Deluxe Edition)
Lovers Rock,TV Girl,['pov: indie'],French Exit
I Know - PR1SVX Edit,Kanii,"['bedroom r&b', 'sped up']",I Know (PR1SVX Edit)
Apocalypse,Cigarettes After Sex,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",Cigarettes After Sex
RUNNING OUT OF TIME,"Tyler, The Creator","['hip hop', 'rap']",IGOR
Already Rich,Yeat,"['pluggnb', 'rage rap']",Already Rich
Eyes Without A Face,Billy Idol,"['album rock', 'classic rock', 'dance rock', 'hard rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']",Rebel Yell
hotline (edit),Billie Eilish,"['art pop', 'pop']",hotline (edit)
Sky,Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",Whole Lotta Red
United In Grief,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Mr. Morale & The Big Steppers
Resonance,Home,['vaporwave'],Odyssey
What You Won't Do for Love,Bobby Caldwell,['yacht rock'],What You Won't Do for Love
Space Song,Beach House,"['art pop', 'baltimore indie', 'dream pop', 'dreamo', 'indie pop', 'indie rock', 'indietronica', 'modern dream pop', 'pov: indie']",Depression Cherry
Heart To Heart,Mac DeMarco,"['edmonton indie', 'lo-fi indie', 'pov: indie']",Here Comes The Cowboy
Shut up My Moms Calling - (Sped Up),Hotel Ugly,['modern indie pop'],Shut up My Moms Calling (Sped up)
I Think I Like When It Rains,WILLIS,['alabama indie'],Locals 2
Somewhere Only We Know,Keane,"['neo mellow', 'piano rock', 'pop rock']",Hopes And Fears
"La leçon particulière - Bande originale du film ""La leçon particulière""",Francis Lai,"['classic soundtrack', 'french soundtrack', 'vintage french electronic']",La Lecon Particuliere
Gangsta's Paradise,Coolio,"['g funk', 'gangster rap', 'hip hop', 'west coast rap']",Gangsta's Paradise
Barbie Girl,Aqua,"['bubblegum dance', 'eurodance', 'europop']",Aquarium (Special Edition)
Under the Bridge,Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",Blood Sugar Sex Magik (Deluxe Edition)
Zombie,The Cranberries,"['irish rock', 'pop rock', 'rock']",No Need To Argue (The Complete Sessions 1994-1995)
Thunderstruck,AC/DC,"['australian rock', 'hard rock', 'rock']",The Razors Edge
If It Makes You Happy,Sheryl Crow,"['lilith', 'new wave pop', 'permanent wave', 'pop rock', 'singer-songwriter']",Sheryl Crow
Basket Case,Green Day,"['modern rock', 'permanent wave', 'punk', 'rock']",Dookie
The Kids Aren't Alright,The Offspring,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']",Americana
Fade Into You,Mazzy Star,"['dream pop', 'melancholia', 'shoegaze', 'slowcore']",So Tonight That I Might See
Wannabe,Spice Girls,"['dance pop', 'girl group', 'pop']",Spice
What's Up?,4 Non Blondes,"['new wave pop', 'pop rock']","Bigger, Better, Faster, More !"
Kiss Me,Sixpence None The Richer,"['lilith', 'pop rock']",Sixpence None the Richer
No Scrubs,TLC,"['atl hip hop', 'contemporary r&b', 'dance pop', 'girl group', 'hip pop', 'r&b', 'urban contemporary']",Fanmail
Scar Tissue,Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",Californication (Deluxe Edition)
Good Riddance (Time of Your Life),Green Day,"['modern rock', 'permanent wave', 'punk', 'rock']",Nimrod
...Baby One More Time,Britney Spears,"['dance pop', 'pop']",...Baby One More Time (Digital Deluxe Version)
Bitter Sweet Symphony - Remastered 2016,The Verve,"['britpop', 'permanent wave', 'rock', 'shoegaze']",Urban Hymns (Remastered 2016)
Song 2 - 2012 Remaster,Blur,"['alternative rock', 'britpop', 'madchester', 'permanent wave', 'rock']",Blur (Special Edition)
November Rain,Guns N' Roses,"['glam metal', 'hard rock', 'rock']",Use Your Illusion I
Linger,The Cranberries,"['irish rock', 'pop rock', 'rock']","Everybody Else Is Doing It, So Why Can't We?"
Otherside,Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",Californication (Deluxe Edition)
All Star,Smash Mouth,"['pop rock', 'post-grunge']",Astro Lounge
What's My Age Again?,blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",Enema Of The State
Lovefool,The Cardigans,"['lilith', 'new wave pop', 'permanent wave', 'pop rock', 'swedish pop']",First Band On The Moon (Remastered)
Wind Of Change,Scorpions,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'rock']",Crazy World
Wicked Game,Chris Isaak,['mellow gold'],Heart Shaped World
Heart-Shaped Box,Nirvana,"['grunge', 'permanent wave', 'rock']",In Utero (Deluxe Edition)
Knockin' On Heaven's Door,Guns N' Roses,"['glam metal', 'hard rock', 'rock']",Use Your Illusion II
Mr. Jones,Counting Crows,"['neo mellow', 'pop rock', 'post-grunge', 'rock']",August And Everything After
It Wasn't Me,Shaggy,"['pop rap', 'reggae fusion']",Hot Shot
When I Come Around,Green Day,"['modern rock', 'permanent wave', 'punk', 'rock']",Dookie
"Freed From Desire - prod. Molella, Phil Jay",Gala,"['eurodance', 'hip house', 'italo dance']",Come Into My Life (The Album)
Santeria,Sublime,"['rap rock', 'reggae fusion', 'ska mexicano', 'ska punk']",Sublime
Smells Like Teen Spirit,Nirvana,"['grunge', 'permanent wave', 'rock']",Nevermind (Remastered)
Don't Cry (Original),Guns N' Roses,"['glam metal', 'hard rock', 'rock']",Use Your Illusion I
Karma Police,Radiohead,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",OK Computer
Killing Me Softly With His Song,Fugees,"['east coast hip hop', 'hip hop', 'neo soul', 'new jersey rap']",The Score (Expanded Edition)
Even Flow,Pearl Jam,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock']",Ten
Fantasy,Mariah Carey,"['dance pop', 'pop', 'urban contemporary']",Daydream
Self Esteem,The Offspring,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']",Smash
I Will Always Love You,Whitney Houston,['pop'],The Bodyguard - Original Soundtrack Album
"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,"['europop', 'swedish pop', 'synthpop']",It Must Have Been Love
Learn to Fly,Foo Fighters,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",There Is Nothing Left To Lose
Black Hole Sun,Soundgarden,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'nu metal', 'rock']",Superunknown (Deluxe Edition)
"Nuthin' But A ""G"" Thang",Dr. Dre,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",The Chronic
One,U2,"['irish rock', 'permanent wave', 'rock']",Achtung Baby (Deluxe Edition)
